원위도,원경도,snapped_lat,snapped_lon
37.6517415,127.0554936,37.65174,127.055424
37.65547438,127.0357388,37.655445,127.035741
37.54129396,127.0711307,37.541269,127.071217
37.65450733,127.0604443,37.654514,127.060485
37.54183637,127.0289729,37.541874,127.029065
37.56692083,127.0627451,37.566714,127.062513
37.56615707,126.9838589,37.566096,126.983861
37.56057813,127.06982,37.560589,127.069801
37.66122577,127.0581322,37.6612,127.058129
37.57307474,127.0150171,37.572935,127.015086
37.56073579,126.8196932,37.560532,126.819654
37.62674948,127.0756191,37.626708,127.075649
37.49995372,127.0336253,37.499903,127.03365
37.60806035,126.9201076,37.608077,126.920077
37.55924816,126.8322517,37.559275,126.832256
37.51622068,127.0196089,37.516222,127.019613
37.48955917,127.031609,37.489568,127.031605
37.48507781,126.9050657,37.485055,126.905064
37.50199407,126.9807553,37.502026,126.980763
37.46688152,126.9482268,37.466883,126.948227
37.46767799,126.7050673,37.467671,126.705066
37.51284773,126.7056863,37.512893,126.70569
37.47836561,127.1142768,37.478359,127.114282
37.52466577,127.0521905,37.524722,127.052181
37.43944844,126.6726552,37.439534,126.672703
37.47735717,126.6930333,37.477301,126.693196
37.43866157,126.6819235,37.438588,126.681919
37.45825453,126.6847075,37.458189,126.684701
37.48741092,126.7082406,37.487371,126.708259
37.52429587,127.0473716,37.524302,127.047388
35.16286268,126.8509824,35.16291,126.850979
35.13471964,126.8992818,35.134704,126.899265
35.15157644,126.8511314,35.15159,126.851131
35.19034661,126.9278032,35.190306,126.927773
35.13848243,126.9218925,35.138493,126.921883
35.20296402,126.873676,35.202971,126.873756
35.17155336,126.8994928,35.17163,126.89949
35.2019226,126.8904699,35.201855,126.890412
35.16130449,126.8893677,35.161391,126.889412
35.1722103,126.8846794,35.172211,126.884707
35.15421563,126.7378984,35.154262,126.737872
36.34242206,127.4087104,36.34243,127.40872
35.17712566,126.8385462,35.177202,126.838573
36.32289065,127.4155849,36.322894,127.415585
35.1584307,126.7304436,35.158437,126.730419
36.28016805,127.3762134,36.280177,127.376242
36.35172005,127.3784454,36.351646,127.378631
35.21634082,126.8274809,35.216338,126.827465
35.16559095,126.690027,35.165594,126.69002
36.34162131,127.3892991,36.341633,127.389314
36.35568704,127.4015283,36.355776,127.401528
37.24676661,127.0323267,37.246804,127.03234
37.29989155,126.9695785,37.299902,126.969497
37.25028166,127.0187287,37.250271,127.018758
36.40651316,127.4237711,36.406539,127.423632
36.44607853,127.4061677,36.446108,127.406144
37.28299924,127.0383408,37.282995,127.038336
